id,street,avenue,date,year,googleMapsVerify,status,changes,additionalDate
1,Darby St.,Damon Av.,12/17/98,1998,3,street closed,,
2,Hamilton Ave.,St. Louis Ave.,11/23/99,1999,3,street closed,,
3,Palm St.,Kingshighway,2/23/99,1999,3,street closed,,
4,Annetta Ave.,Halls Ferry Rd.,11/4/97,1997,3,street closed,,
6,Coal Bank Rd.,Riverview Dr.,6/5/87,1987,3,street closed,,
7,Hall St.,Buchanan St.,3/2/94,1994,3,street closed,,
9,Lookaway Dr.,Shepley Dr.,3/4/87,1987,1,street closed,,
10,19th St.,Angellica,11/17/92,1992,2,street open,,
11,19th St.,Penrose St.,11/17/92,1992,1,street closed,,
12,Adelaide Ave.,W. Florissant,2/2/00,2000,2,street open,,
13,Agnes St.,21st St.,11/23/05,2005,3,street closed,,
14,Ashland Ave.,Vandeventer Ave.,12/23/92,1992,1,street closed,,
15,Bailey Ave.,Glasgow Ave.,8/2/94,1994,3,street closed,,
16,Bailey Ave.,Grand Blvd.,11/23/99,1999,3,street closed,,
17,Barrett St.,Glasgow Ave.,12/23/92,1992,1,street closed,,
18,Breman Ave.,11th,6/1/97,1997,1,street closed,,
19,Breman Ave.,14th,6/2/97,1997,1,street closed,,
20,Breman Ave.,20th,6/3/97,1997,3,street closed,,
21,Breman Ave.,Blair Ave.,12/6/94,1994,3,street closed,,
22,Destrehan St.,North Florissant Ave.,6/2/05,2005,2,street open,,
23,Dodier St.,N. Spring Ave.,4/1/02,2002,3,street closed,,
24,Ferry St.,Randall Pl.,6/29/01,2001,2,street open,,
25,E. Gano Ave.,N. 20th St.,5/29/01,2001,1,street closed,,
26,Gano Ave.,Blair Ave.,2/15/01,2001,2,street open,,
27,Greer Av.,Vandeventer,7/31/04,2004,3,street closed,,
28,Harper St.,Grand,4/20/84,1984,1,street closed,,
29,Hyams Pl.,Dodier,7/1/97,1997,1,street closed,,
30,Mallinckrodt St.,25th St.,6/2/05,2005,3,street closed,,
31,Mallinckrodt St.,n/s alley,6/2/05,2005,0,intersection not found,,
32,Ninteenth St.,Farragut,10/22/05,2005,1,street closed,,
34,Palm St.,Grand,4/10/84,1984,1,street closed,,
35,Pleasant Ave.,Penrose St.,11/17/92,1992,2,street open,,
36,Randall Pl.,Penrose St.,11/16/04,2004,1,street closed,street name fixed,
37,Twenty first St.,Penrose St.,3/13/81,1981,1,street closed,,
38,Twenty-second St.,Newhouse,10/24/95,1995,1,street closed,,
39,Twenty-second St.,Palm St.,6/2/05,2005,1,street closed,,
40,Twenty-third St.,Mallinckrodt,11/7/02,2002,2,street open,,
41,Twenty-third St.,Newhouse,1/12/09,2009,2,street open,,
42,Twenty-third St.,Palm St.,6/2/05,2005,1,street closed,,
43,Cote Brilliante Ave.,Vandeventer,11/9/94,1994,1,street closed,,
44,Cote Brilliante Ave.,Sarah,8/4/98,1998,3,street closed,,
45,Cottage,Billups,5/18/09,2009,4,street open,,
46,North Market St.,Cora,2/19/85,1985,3,street closed,,
47,North Market St.,Marcus,2/19/85,1985,1,street closed,,
48,St. Ferdinand,Annie Malone,5/18/09,2009,2,street open,,
49,St. Ferdinand,Billups,5/18/09,2009,4,street open,,
50,Sullivan Ave.,Vandeventer Ave.,4/28/98,1998,3,street closed,,
51,Benton St.,19th St.,7/15/96,1996,3,street closed,,
52,Chambers St,16th,1/10/07,2007,3,street closed,,
53,Dodiers St.,N. Florissant,10/5/83,1983,1,street closed,,
54,Eighteenth St.,Cass Ave.,2/28/97,1997,1,street closed,,
55,Eleventh St.,O'Fallon,2/10/84,1984,1,street closed,,
56,E. Fourteenth St.,O'Fallon,2/22/05,2005,3,street closed,,
57,E. Fourteenth St.,Biddle,2/22/05,2005,2,street open,,
58,E. Fourteenth St.,Cass,11/23/05,2005,3,street closed,,
59,11th,O'Fallon,2/10/84,1984,1,street closed,,
61,Knapp St.,Branch,10/24/95,1995,3,street closed,,
62,Mullanphy St.,Sixteenth St.,2/18/97,1997,3,street closed,,
64,Nineteenth St.,Warren,7/1/96,1996,3,street closed,,
65,O'Fallon St.,13th St.,2/22/05,2005,3,street closed,,
66,O'Fallon St.,14th St.,2/22/05,2005,9,duplicate,with 56,
67,Penrose St.,Blair,6/25/97,1997,3,street closed,,
68,Rauchenback,Herbert,6/12/80,1980,3,street closed,street name fixed,
69,Sixteenth Av.,Mullanphy St.,2/18/97,1997,3,street closed,,
70,Sixteenth Av.,O'Fallon,7/15/96,1996,3,street closed,,
71,Twenty-first St.,N. Florissant,6/12/80,1980,3,street closed,,
