id,ward,street,avenue,type,waldronCat,ordinanceNum,date,year
1,1,Darby St.,Damon Av.,pots (3),1,64519,12/17/98,1998
2,1,Hamilton Ave.,St. Louis Ave.,pots/chains,1,64731,11/23/99,1999
3,1,Palm St.,Kingshighway,pots (4),1,64630,2/23/99,1999
4,2,Annetta Ave.,Halls Ferry Rd.,pots (4),1,64179,11/4/97,1997
5,2,Annetta Ave.,Halls Ferry Rd.,pots (3),1,59980,1/30/86,1986
6,2,Coal Bank Rd.,Riverview Dr.,post/rails,2,60353,6/5/87,1987
7,2,Hall St.,Buchanan St.,pots (3),1,63106,3/2/94,1994
8,2,Lookaway Dr.,S. Benevenue,pots (4),1,60307,3/4/87,1987
9,2,Lookaway Dr.,Shepley Dr.,pots (4),1,60307,3/4/87,1987
10,2,19th St.,Angellica,pots (6),1,62750,11/17/92,1992
11,2,19th St.,Penrose St.,pots (4),1,62750,11/17/92,1992
12,3,Adelaide Ave.,W. Florissant,pots (4),1,64873,2/2/00,2000
13,3,Agnes St.,21st St.,,4,66916,11/23/05,2005
14,3,Ashland Ave.,Vandeventer Ave.,cul,3,62648,12/23/92,1992
15,3,Bailey Ave.,Glasgow Ave.,,4,63394,8/2/94,1994
16,3,Bailey Ave.,Grand Blvd.,pots (4),1,64761,11/23/99,1999
17,3,Barrett St.,Glasgow Ave.,pots (4),1,62789,12/23/92,1992
18,3,Breman Ave.,11th,pots (4),1,64092,6/1/97,1997
19,3,Breman Ave.,14th,pots (4),1,64093,6/2/97,1997
20,3,Breman Ave.,20th,pots (5),1,64094,6/3/97,1997
21,3,Breman Ave.,Blair Ave.,pots (4),1,63393,12/6/94,1994
22,3,Destrehan St.,North Florissant Ave.,,4,66693,6/2/05,2005
23,3,Dodier St.,N. Spring Ave.,pots (4),1,66698,4/1/02,2002
24,3,Ferry St.,Randall Pl.,pots (4),1,65491,6/29/01,2001
25,3,E. Gano Ave.,N. 20th St.,pots (5),1,65212,5/29/01,2001
26,3,Gano Ave.,Blair Ave.,pots (5),1,65199,2/15/01,2001
27,3,Greer Av.,Vandeventer,pots (4),1,65154,7/31/04,2004
28,3,Harper St.,Grand,wrought iron fence,2,66375,4/20/84,1984
29,3,Hyarrs Pl.,Dodier,pots (4),1,59113,7/1/97,1997
30,3,Mallinckrodt St.,25th St.,,4,64095,6/2/05,2005
31,3,Mallinckrodt St.,n/s alley,,4,66698,6/2/05,2005
32,3,Ninteenth St.,Farragut,pots (5),1,66698,10/22/05,2005
33,3,North 23rd,Neccho,pots (4),1,66027,5/18/09,2009
34,3,Palm St.,Grand,wrought iron fence,2,68341,4/10/84,1984
35,3,Pleasant Ave.,Penrose St.,pots (3),1,59114,11/17/92,1992
36,3,Randal Pl.,Penrose St.,pots (4),1,62744,11/16/04,2004
37,3,Twenty first St.,Penrose St.,pots (4),1,66487,3/13/81,1981
38,3,Twenty-second St.,Newhouse,pots (4),1,58382,10/24/95,1995
39,3,Twenty-second St.,Palm St.,,4,63561,6/2/05,2005
40,3,Twenty-third St.,Mallinckrodt,pots (4),1,66698,11/7/02,2002
41,3,Twenty-third St.,Newhouse,pots (4),1,65672,1/12/09,2009
42,3,Twenty-third St.,Palm St.,,4,68226,6/2/05,2005
43,4,Cote Brilliante Ave.,Vandeventer,pots (5),1,66698,11/9/94,1994
44,4,Cote Brilliante Ave.,Sarah,pots (6),1,63309,8/4/98,1998
45,4,Cottage,Billups,pots (5),1,64442,5/18/09,2009
46,4,North Market St.,Cora,pots (3),1,68341,2/19/85,1985
47,4,North Market St.,Marcus,pots (4),1,59380,2/19/85,1985
48,4,St. Ferdinand,Annie Malone,pots (4),1,59380,5/18/09,2009
49,4,St. Ferdinand,Billups,pots (5),1,68341,5/18/09,2009
50,4,Sullivan Ave.,Vandeventer Ave.,,4,68361,4/28/98,1998
51,5,Benton St.,19th St.,pots (7),1,63814,7/15/96,1996
52,5,Chambers St,16th,,4,67367,1/10/07,2007
53,5,Dodiers St.,N. Florissant,cul,3,58939,10/5/83,1983
54,5,Eighteenth St.,Cass Ave.,cul,3,63996,2/28/97,1997
55,5,Eleventh St.,O'Fallon,cul,3,59035,2/10/84,1984
56,5,E. Fourteenth St.,O'Fallon,pots (3),1,66621,2/22/05,2005
57,5,E. Fourteenth St.,Biddle,pots (3),1,66621,2/22/05,2005
58,5,E. Fourteenth St.,Cass,,4,66914,11/23/05,2005
59,5,Hadley St./11th St.,O'Fallon,cul,3,59035,2/10/84,1984
60,5,Herbert St.,Knapp,pots (4),1,62977,10/18/93,1993
61,5,Knapp St.,Branch,pots (4),1,63566,10/24/95,1995
62,5,Mullanphy St.,Sixteenth St.,cul,3,63996,2/18/97,1997
63,5,Nineteenth St.,Benton,pots (6),1,63814,7/15/96,1996
64,5,Nineteenth St.,Warren,pots (6),1,63814,7/1/96,1996
65,5,O'Fallon St.,13th St.,pots (3),1,66621,2/22/05,2005
66,5,O'Fallon St.,14th St.,pots (3),1,66621,2/22/05,2005
67,5,Penrose St.,Blair,pots (4),1,64081,6/25/97,1997
68,5,Pauschenback Av.,Heben,posts/chains,2,58085,6/12/80,1980
69,5,Sixteenth Av.,Mullanphy St.,cul,3,63996,2/18/97,1997
70,5,Sixteenth Av.,O'Fallon,pots (7),1,63818,7/15/96,1996
71,5,Twenty-first St.,N. Florissant,pots (2),1,58085,6/12/80,1980
72,5,Warren St.,19th,pots,1,63814,7/15/96,1996
73,5,Wright St.,N. Florissant,cul,3,58085,6/12/90,1990
74,6,Allen Ave.,Compton,wrought iron fence,2,57405,8/2/77,1977
75,6,Allen Ave.,Nebraska,wrought iron fence,2,57405,8/2/77,1977
76,6,California Ave.,Lafayette,pots (4),1,62647,2/2/93,1993
77,6,Caroline St.,Jefferson,cul,3,57336,3/22/77,1977
78,6,Dolman St.,Chouteau,pots (4),1,66372,7/31/04,2004
79,6,Dolman St.,Lafayette,pots (4),1,66372,7/31/04,2004
80,6,Eads Ave.,Nebraska,cul,3,57776,3/15/79,1979
81,6,Eighteenth St.,Chouteau,pots (11),1,59707,1/30/86,1986
82,6,Eighteenth St.,Chouteau,pots (6),1,59707,1/30/86,1986
83,6,Eighteenth St.,Lafayette,pots (4),1,59707,1/30/86,1986
84,6,Geyer Ave.,S Compton Ave,wrought iron fence,2,57405,8/2/97,1977
85,6,Geyer Ave.,Compton,cul,3,57405,8/2/97,1977
86,6,Geyer Ave.,Jefferson,cul,3,57405,8/2/97,1977
87,6,Geyer Ave.,Nebraska,wrought iron fence,2,57405,8/2/97,1977
88,6,Geyer Ave.,Nebraska,cul,3,57405,8/2/97,1977
89,6,Hartford St.,Louisiana,pots (4),1,57405,8/2/77,1977
90,6,Henrietta Pl,Nebraska,pots (3),1,57776,3/15/79,1979
91,6,Henrietta St.,Pennsylvania,pots (3),1,57949,3/15/79,1979
92,6,Hickory St,Dolman,post/rails,2,57497,2/9/78,1978
93,6,Hickory St,Dolman,pots (5),1,63638,12/21/93,1993
94,6,Hickory St,Grattan ,,4,63638,12/21/93,1993
95,6,Hickory St,Jefferson,cul,3,63638,12/21/93,1993
96,6,Hickory St,Ohio,pots (4),1,63638,12/21/93,1993
97,6,Hickory St,S. Compton,pots (4),1,63638,12/21/93,1993
98,6,LaSalle St.,18th,posts/chains,2,57384,7/14/77,1977
99,6,McKay Pl.,Chouteau,pots (4),1,63071,12/21/93,1993
100,6,Ohio Ave.,Chouteau,pots (7),1,63071,12/21/93,1993
101,6,Rutger St.,Ohio,pots (5),1,57336,3/22/77,1977
102,6,Rutger St.,Jefferson,cul,3,57336,3/22/97,1997
103,6,Rutger St.,California,pots (4),1,57336,3/22/97,1997
104,6,Rutger St.,S. Compton,pots (4),1,57336,3/22/97,1997
105,6,Seventeenth St.,Cass,barricade,4,63996,2/18/97,1997
106,6,Seventeenth St.,Delmar,iron fence (P.C.),4,58060,4/4/80,1980
107,6,Sixeteenth St.,Delmar,iron fence (P.C.),4,58060,4/4/80,1980
108,6,St. Vincent Ave.,Nebraska,cul,3,57776,3/15/79,1979
109,6,Virginia Ave.,Russell,cul,3,59333,12/19/84,1984
110,7,Accoitiac St.,California,cul,3,59752,3/4/86,1984
111,7,Accoitiac St.,Jefferson,cul,3,59333,12/19/84,1979
112,7,Accoitiac St.,Oregon,cul,3,57813,3/27/79,1986
113,7,Allen Ave.,Jefferson,cul,3,63594,3/4/86,1986
114,7,Ann Ave.,Jefferson,cul,3,63594,3/4/86,1986
115,7,Armand Pl.,Jefferson,cul,3,63594,3/4/86,1986
116,7,Earton,3rd,,4,58666,9/13/82,1982
117,7,California Ave.,Victor,cul,3,57911,10/15/79,1979
118,7,Carrol St.,Truman,pots (3),1,62838,2/2/93,1993
119,7,Carrol St.,St. Ange Av.,pots (3),1,62838,2/2/93,1993
120,7,Carrol St.,Tucker/Gravois,pots,1,61468,7/18/89,1989
121,7,Elvira alley,Tucker C.B. 441,pots (4),1,64541,1/4/89,1989
122,7,Gratiot St.,7th,,4,59060,3/8/84,1984
123,7,Merard St.,Park,cul,3,60336,3/4/87,1987
124,7,Ninth St.,,pots (3),1,65865,4/24/03,2003
125,7,Rutger St.,Tucker,cul,3,57909,11/10/79,1979
126,7,Sixth St.,Market,(P.C.),4,60213,3/4/87,1987
127,7,Victor St.,California,cul,3,59752,4/24/03,2003
128,8,Blaine Ave.,Grand,cul,3,58666,11/10/79,1979
129,8,Botanical Ave.,Grand,cul,3,59592,2/4/87,1987
130,8,Botanical Ave.,Tower Grove,cul,3,59592,3/4/86,1986
131,8,Castleman Ave.,Lawerence,wrought iron fence,2,57880,9/13/82,1982
132,8,Castleman Ave.,Tower Grove,cul,3,59592,11/4/85,1985
133,8,Cleveland Ave.,Grand Blvd.,posts/chains,2,59592,11/4/85,1985
134,8,Cleveland Ave.,Tower Grove,cul,3,59592,8/10/79,1979
135,8,Detonty St.,Klemm,pots (2),1,59592,11/4/85,1985
136,8,Flad Ave.,Grand Blvd.,cul,3,59592,11/4/85,1985
137,8,Flad Ave.,Grand Blvd.,pots (6),1,57461,11/4/85,1985
138,8,Flad Ave.,Tower Grove,cul,3,59592,11/4/85,1985
139,8,Flora Pl.,Grand Blvd.,cul,3,59592,11/4/85,1985
140,8,Flora Pl.,Tower Grove,cul,3,57911,10/15/79,1979
141,8,Folsom Ave.,39th,cul,3,58857,7/7/83,1983
142,8,McRee Ave.,39th,cul,3,63148,3/30/94,1994
143,8,McRee Ave.,Thurman,,4,63148,3/30/94,1994
144,8,McRee Ave.,Grand Blvd.,cul,3,58666,9/13/82,1982
145,8,Russell Blvd,Tower Grove,cul,3,59592,11/4/85,1985
146,8,Shenandoah Ave.,Grand Blvd.,cul,3,59592,11/4/85,1985
147,8,Shenandoah Ave.,Tower Grove Ave.,cul,3,59592,11/4/85,1985
148,8,Thurman Ave.,I-44,pots (6),1,59592,11/4/85,1985
149,8,Thurman Ave.,I-44,pots (6),1,59592,11/4/85,1985
150,9,Crittenden St.,Grand Blvd.,wrought iron fence,2,57371,10/21/77,1977
151,9,Herford St.,Compton Ave.,cul,3,57498,2/9/78,1978
152,9,Humphrey St.,Gravois Ave.,pots (5),1,63815,7/15/96,1996
153,9,Illinois Ave.,Arsenal St.,posts/chains,2,57645,6/21/78,1978
154,9,Juniata St.,Minnesota,pots (4),1,57645,6/21/78,1978
155,9,Nebraska Ave.,Juniata,pots (4),1,57645,6/21/78,1978
156,9,Ohio Ave.,Gasconade,pots (3),1,61691,11/20/89,1989
157,9,Ohio Ave.,Arsenal St.,pots (4),1,57645,6/21/78,1978
158,9,Osage St.,S. Broadway,pots (4),1,57645,6/21/78,1978
159,9,Pestalozzi St.,California,,4,61691,11/20/89,1989
160,9,Pennsylvania Ave.,Wyoming,pots (4),1,57645,6/21/78,1978
161,9,Texas Ave.,Gravois Ave.,pots (4),1,57645,6/21/78,1978
162,10,Juditch Ct.,Gasconade,pots (5),1,66015,7/29/03,2003
163,10,Missouri Av.,Broadway,pots (5),1,66349,11/28/01,2001
164,10,Winnebago St.,Marine Av.,pots (5),1,64658,6/8/99,1999
165,16,Hi View Ave,Jamieson,,4,66922,11/23/05,2005
166,16,McCausland Ave.,Chippewa,pots (5),1,66922,11/23/05,2005
167,16,Plainview Ave.,Chippewa,pots (4),1,62532,3/30/92,1992
168,16,Plainview Ave.,Jamieson,,4,66922,11/23/05,2005
169,16,Wabash Ave.,Lansdowne,pots (10),1,63708,3/26/96,1996
170,17,Arco Ave.,N. Newstead Ave.,pots (4),1,62461,10/16/91,1991
171,17,Arco Ave.,N. Newstead Ave.,pots (4),1,62460,10/16/91,1991
172,17,Berthold Ave.,Hereford St.,pots (4),1,61691,11/20/89,1989
173,17,Cadet Ave.,Kingshighway Blvd.,,4,66473,3/21/02,2002
174,17,Gibson Ave.,S. Boyle Ave.,pots (4),1,62465,10/16/91,1991
175,17,Gibson Ave.,Mancester Ave.,pots (4),1,62466,10/16/91,1991
176,17,Gibson Ave.,Newstead Ave.,pots (4),1,62464,10/16/91,1991
177,17,Gibson Ave.,Newstead Ave.,pots (4),1,62463,10/16/91,1991
178,17,Laclede Ave.,N. Boyle Ave,cul,3,57951,5/9/78,1978
179,17,Laclede Ave.,S. Taylor Ave.,pots (2),1,58292,4/2/81,1981
180,17,Lawn Pl.,Berthold Ave.,pots (2),1,59980,1/30/86,1986
181,17,Lawn Pl.,Oakland Ave.,pots (2),1,59980,1/30/86,1986
182,17,Maryland Ave.,Whittier St.,cul,3,57213,6/24/76,1976
183,17,Maryland Ave.,N. Boyle,pots (2),1,59980,1/30/86,1986
