id,ward,street,avenue,type,waldronCat,ordinanceNum,date,year,googleMapsVerify,gMapsDate,googleMapsType,noIntersect,streetOpen,coords.x1,coords.x2,check,status
5,2,Annetta Ave.,Halls Ferry Rd.,pots (3),1,59980,1/30/86,1986,2,,,0,1,NA,NA,fail,duplicate with 4
8,2,Lookaway Dr.,S. Benevenue,pots (4),1,60307,3/4/87,1987,3,9/1/12,gate,0,0,NA,NA,fail,geocoded
33,3,North 23rd,Neccho,pots (4),1,66027,5/18/09,2009,0,,,0,0,NA,NA,fail,intersection does not exist
60,5,Hebert St.,Knapp,pots (4),1,62977,10/18/93,1993,1,9/1/14,SAME,0,0,NA,NA,fail,street misspelled; geocoded
63,5,Nineteenth St.,Benton,pots (6),1,63814,7/15/96,1996,9,3/1/15,SAME,0,0,NA,NA,fail,duplicate with 51
72,5,Warren St.,19th,pots,1,63814,7/15/96,1996,9,3/1/15,pots (9),0,0,NA,NA,fail,duplicate with 64
76,6,California Ave.,Lafayette,pots (4),1,62647,2/2/93,1993,2,7/1/11,N/A,0,1,NA,NA,fail,
82,6,Eighteenth St.,Chouteau,pots (6),1,59707,1/30/86,1986,2,,,0,1,NA,NA,fail,
93,6,Hickory St,Dolman,pots (5),1,63638,12/21/93,1993,9,,,0,0,NA,NA,fail,
100,6,Ohio Ave.,Chouteau,pots (7),1,63071,12/21/93,1993,2,,,0,1,NA,NA,fail,
105,6,Seventeenth St.,Cass,barricade,4,63996,2/18/97,1997,3,3/1/15,pots (5),1,0,NA,NA,fail,
106,6,Seventeenth St.,Delmar,iron fence (P.C.),4,58060,4/4/80,1980,1,4/1/15,SAME,0,0,NA,NA,fail,
107,6,Sixeteenth St.,Delmar,iron fence (P.C.),4,58060,4/4/80,1980,2,4/1/15,SAME,0,1,NA,NA,fail,
119,7,Carrol St.,St. Ange Av.,pots (3),1,62838,2/2/93,1993,3,7/1/11,,0,0,NA,NA,fail,
121,7,Elvira alley,Tucker C.B. 441,pots (4),1,64541,1/4/89,1989,0,,,0,0,NA,NA,fail,
124,7,Ninth St.,,pots (3),1,65865,4/24/03,2003,0,,,0,0,NA,NA,fail,
127,7,Victor St.,California,cul,3,59752,4/24/03,2003,1,6/1/12,SAME,0,0,NA,NA,fail,
135,8,Detonty St.,Klemm,pots (2),1,59592,11/4/85,1985,3,9/1/14,Do Not Enter Sign,0,0,NA,NA,fail,
149,8,Thurman Ave.,I-44,pots (6),1,59592,11/4/85,1985,3,5/1/15,concrete balls (5),0,0,NA,NA,fail,
151,9,Herford St.,Compton Ave.,cul,3,57498,2/9/78,1978,0,,,0,0,NA,NA,fail,
