id,ward,street,avenue,type,waldronCat,ordinanceNum,date,year,googleMapsVerify,gMapsDate,googleMapsType,noIntersect,streetOpen,coords.x1,coords.x2,check,status,
5,2,Annetta Ave.,Halls Ferry Rd.,pots (3),1,59980,1/30/86,1986,9,,,0,1,NA,NA,fail,duplicate with 4,
8,2,Lookaway Dr.,S. Benevenue,pots (4),1,60307,3/4/87,1987,3,9/1/12,gate,0,0,NA,NA,fail,geocoded,
33,3,North 23rd,Neccho,pots (4),1,66027,5/18/09,2009,0,,,0,0,NA,NA,fail,intersection not found,
60,5,Hebert St.,Knapp,pots (4),1,62977,10/18/93,1993,1,9/1/14,SAME,0,0,NA,NA,fail,street misspelled; geocoded,
63,5,Nineteenth St.,Benton,pots (6),1,63814,7/15/96,1996,9,3/1/15,SAME,0,0,NA,NA,fail,duplicate with 51,
72,5,Warren St.,19th,pots,1,63814,7/15/96,1996,9,3/1/15,pots (9),0,0,NA,NA,fail,duplicate with 64,
76,6,California Ave.,Lafayette,pots (4),1,62647,2/2/93,1993,2,7/1/11,N/A,0,1,NA,NA,fail,bill is 62847; open,"Sept, 2009"
82,6,Eighteenth St.,Chouteau,pots (6),1,59707,1/30/86,1986,2,,,0,1,NA,NA,fail,open,"August, 2007"
93,6,Hickory St,Dolman,pots (5),1,63638,12/21/93,1993,9,,,0,0,NA,NA,fail,duplicate with 92,
100,6,Ohio Ave.,Chouteau,pots (7),1,63071,12/21/93,1993,2,,,0,1,NA,NA,fail,open,"July, 2011"
105,6,Seventeenth St.,Cass,barricade,4,63996,2/18/97,1997,3,3/1/15,pots (5),1,0,NA,NA,fail,geocoded,
106,6,Seventeenth St.,Delmar,iron fence (P.C.),4,58060,4/4/80,1980,1,4/1/15,SAME,0,0,NA,NA,fail,geocoded,
107,6,Sixeteenth St.,Delmar,iron fence (P.C.),4,58060,4/4/80,1980,1,4/1/15,SAME,0,1,NA,NA,fail,geocoded,
119,7,Carrol St.,St. Ange Av.,pots (3),1,62838,2/2/93,1993,9,7/1/11,,0,0,NA,NA,fail,duplicate with 118,
121,7,Elvira alley,Tucker C.B. 441,pots (4),1,64541,1/4/89,1989,0,,,0,0,NA,NA,fail,intersection not found,
124,7,Ninth St.,,pots (3),1,65865,4/24/03,2003,0,,,0,0,NA,NA,fail,intersection not found,
127,7,Victor St.,California,cul,3,59752,4/24/03,2003,9,6/1/12,SAME,0,0,NA,NA,fail,duplicate with 117,
135,8,Detonty St.,Klemm,pots (2),1,59592,11/4/85,1985,2,9/1/14,Do Not Enter Sign,0,0,NA,NA,fail,open,"Sept, 2007"
149,8,Thurman Ave.,I-44,pots (6),1,59592,11/4/85,1985,3,5/1/15,concrete balls (5),0,0,NA,NA,fail,geocoded,
151,9,Herford St.,Compton Ave.,cul,3,57498,2/9/78,1978,0,,,0,0,NA,NA,fail,intersection not found,
154,9,Juniata St.,Minnesota,pots (4),1,57645,6/21/78,1978,2,9/1/14,Street Open,0,1,NA,NA,fail,open,
155,9,Nebraska Ave.,Juniata,pots (4),1,57645,6/21/78,1978,2,7/1/11,Street Open,0,1,NA,NA,fail,open,
157,9,Ohio Ave.,Arsenal St.,pots (4),1,57645,6/21/78,1978,2,7/1/11,Street Open,0,1,NA,NA,fail,open,
158,9,Osage St.,S. Broadway,pots (4),1,57645,6/21/78,1978,2,10/1/11,Street Open,0,1,NA,NA,fail,open,
159,9,Pestalozzi St.,California,,4,61691,11/20/89,1989,2,7/1/11,Street Open,0,1,NA,NA,fail,open,
160,9,Pennsylvania Ave.,Wyoming,pots (4),1,57645,6/21/78,1978,2,9/1/14,Street Open,0,1,NA,NA,fail,open,
161,9,Texas Ave.,Gravois Ave.,pots (4),1,57645,6/21/78,1978,2,7/1/11,Street Open,0,1,NA,NA,fail,open,
168,16,Plainview Ave.,Jamieson,,4,66922,11/23/05,2005,2,8/1/15,,0,1,NA,NA,fail,open,
169,16,Wabash Ave.,Lansdowne,pots (10),1,63708,3/26/96,1996,2,9/1/14,,0,1,NA,NA,fail,open,
172,17,Berthold Ave.,Hereford St.,pots (4),1,61691,11/20/89,1989,0,,,0,0,NA,NA,fail,intersection not found,
175,17,Gibson Ave.,Mancester Ave.,pots (4),1,62466,10/16/91,1991,1,6/1/11,SAME,0,0,NA,NA,fail,geocoded,
178,17,Laclede Ave.,N. Boyle Ave,cul,3,57951,5/9/78,1978,1,7/1/15,SAME,0,0,NA,NA,fail,geocoded,
179,17,Laclede Ave.,S. Taylor Ave.,pots (2),1,58292,4/2/81,1981,3,7/1/15,gate/posts (3),0,0,NA,NA,fail,geocoded,
182,17,Maryland Ave.,Whittier St.,cul,3,57213,6/24/76,1976,3,5/1/15,cul/gate,0,0,NA,NA,fail,duplicate with 202,
183,17,Maryland Ave.,N. Boyle,pots (2),1,59980,1/30/86,1986,2,5/1/15,Street Open,0,1,NA,NA,fail,open,
187,17,Parkview Pl.,S. Euclid Ave.,,4,64504,11/23/98,1998,3,10/1/14,posts (5),0,0,NA,NA,fail,geocoded; now a pedestrian mall,
190,17,West Pine Blvd.,N. Sarah St.,cul,3,67880,8/1/83,1983,3,5/1/15,cul/gate/posts (10)/lamppost (1)/pots (2),0,0,NA,NA,fail,geocoded,
191,17,Whittier St.,McPherson Ave.,,4,67521,6/11/09,2009,9,5/1/15,pots (10)/street signs (4),0,0,NA,NA,fail,duplicate with 211,
193,17,Wise Ave.,Hereford,pots (4),1,59081,3/8/84,1984,0,,,0,0,NA,NA,fail,intersection not found,
195,18,Hamilton Ave.,Suburban Track Lines Hodiamont Row,pots (5),1,59061,3/8/84,1984,1,,,0,0,NA,NA,fail,street spelling updated; geocoded,
196,18,Hamilton Ave.,Suburban Track Lines Hodiamont Row,pots (5),1,59061,3/8/84,1984,2,,,0,0,NA,NA,fail,street spelling updated; street open,
200,18,Enright Ave.,Taylor,pots (10),1,65995,7/29/03,2003,3,9/1/14,fence,0,0,NA,NA,fail,geocoded,
212,18,Whittier St.,Maryland,pots (4),1,64359,4/28/98,1998,9,5/1/15,wrought iron fence,0,0,NA,NA,fail,duplicate with 202,
216,20,California Ave.,Chippewa Ave,,4,57498,2/9/78,1978,2,9/1/14,Street Open,0,1,NA,NA,fail,street open,
217,20,S. Compton Ave.,Oasge,pots (4),1,57498,2/9/78,1978,4,9/1/11,Do Not Enter Sign,0,0,NA,NA,fail,street open; barrier material remains,
218,20,S. Compton Ave.,Gascorade,pots (4),1,63962,2/9/78,1978,2,9/1/11,Street Open,0,1,NA,NA,fail,street open,
219,20,Highland Ave.,N. Kingshighway,pots (5),1,64695,7/19/99,1999,3,8/1/15,brick and iron fence,0,0,NA,NA,fail,street spelling updated; geocoded,
220,20,Labadie Ave,N. Kingshighway,cul,3,57901,9/18/78,1978,1,9/1/11,SAME,0,0,NA,NA,fail,street spelling updated; geocoded,
221,20,Lotus Ave.,N. Kingshighway,pots (4),1,64629,2/23/99,1999,3,7/1/15,brick and iron fence,0,0,NA,NA,fail,street spelling updated; geocoded,
222,20,Maffitt Pl,N. Kingshighway,pots (6),1,62453,10/9/91,1991,3,9/1/14,cul and concrete posts,0,0,NA,NA,fail,street spelling updated; geocoded,
225,20,San Francisco Ave.,N. Kingshighway,pots,1,64557,9/18/78,1978,2,9/1/14,Do Not Enter Sign,0,0,NA,NA,fail,street spelling updated; street open,"August, 2011"
226,20,Wabada Ave.,N. Kingshighway,pots (6),1,62502,2/1/99,1999,3,8/1/15,brick and iron fence,0,0,NA,NA,fail,street spelling updated; geocoded,
227,20,Winnebago St.,Jefferson Ave,,4,64987,7/12/00,2000,2,7/1/11,Street Open,0,1,NA,NA,fail,street open,
236,25,Theodosia Ave.,Union,cul,3,57901,9/18/78,1978,1,,SAME,0,0,NA,NA,fail,geocoded,
240,26,Cabanne Ave.,Ruth Porter Mall,,4,63405,2/5/96,1996,1,8/1/11,pots(8),0,0,NA,NA,fail,geocoded,
247,26,Clemens Ave.,Clara,pots (8),1,62942,7/27/93,1993,2,7/1/11,pots(4),0,1,NA,NA,fail,street open,
254,26,Raymond Ave.,Hodiamont Streetcar Row,pots (4),1,66699,5/13/05,2005,3,10/1/11,pots(8),0,0,NA,NA,fail,geocoded,
279,28,Pershing Ave,Taylor,pots (5),1,59057,3/8/84,1984,9,,,0,0,NA,NA,fail,duplicate with 278,
284,28,Waterman Blvd.,Belt,posts/chains,2,57452,12/12/77,1977,9,,,0,0,NA,NA,fail,not geocoded - private place,
289,28,Westminister Pl.,Taylor,cul,3,59127,4/10/84,1984,3,7/1/15,cul and iron fence,0,0,NA,NA,fail,duplicate with 210,
291,3,N. Spring Ave,Dodier St,,4,NA,,NA,9,7/1/16,fence,0,0,NA,NA,fail,appears to be temporary,
292,,Cabanne Ave.,Ruth Porter Mall,,,,,,1,,,,1,,,,geocoded,
293,,Patton Ave,Union,,,,,,1,,,,,,,,geocoded,
294,,Hodimont Tracks,N. Taylor,,,,,,1,,,,,,,,geocoded,
