"","id","ward","street","avenue","type","waldronCat","ordinanceNum","date","year","googleMapsVerify","gMapsDate","googleMapsType","noIntersect","streetOpen","coords.x1","coords.x2","check"
"1",5,2,"Annetta Ave.","Halls Ferry Rd.","pots (3)",1,59980,"1/30/86",1986,2,"","",0,1,NA,NA,"fail"
"2",33,3,"North 23rd","Neccho","pots (4)",1,66027,"5/18/09",2009,0,"","",0,0,NA,NA,"fail"
"3",63,5,"Nineteenth St.","Benton","pots (6)",1,63814,"7/15/96",1996,9,"3/1/15","SAME",0,0,NA,NA,"fail"
"4",72,5,"Warren St.","19th","pots",1,63814,"7/15/96",1996,9,"3/1/15","pots (9)",0,0,NA,NA,"fail"
"5",76,6,"California Ave.","Lafayette","pots (4)",1,62647,"2/2/93",1993,2,"7/1/11","N/A",0,1,NA,NA,"fail"
"6",82,6,"Eighteenth St.","Chouteau","pots (6)",1,59707,"1/30/86",1986,2,"","",0,1,NA,NA,"fail"
"7",93,6,"Hickory St","Dolman","pots (5)",1,63638,"12/21/93",1993,9,"","",0,0,NA,NA,"fail"
"8",100,6,"Ohio Ave.","Chouteau","pots (7)",1,63071,"12/21/93",1993,2,"","",0,1,NA,NA,"fail"
"9",119,7,"Carrol St.","St. Ange Av.","pots (3)",1,62838,"2/2/93",1993,3,"7/1/11","",0,0,NA,NA,"fail"
"10",121,7,"Elvira alley","Tucker C.B. 441","pots (4)",1,64541,"1/4/89",1989,0,"","",0,0,NA,NA,"fail"
"11",124,7,"Ninth St.","","pots (3)",1,65865,"4/24/03",2003,0,"","",0,0,NA,NA,"fail"
"12",127,7,"Victor St.","California","cul",3,59752,"4/24/03",2003,1,"6/1/12","SAME",0,0,NA,NA,"fail"
"13",135,8,"Detonty St.","Klemm","pots (2)",1,59592,"11/4/85",1985,3,"9/1/14","Do Not Enter Sign",0,0,NA,NA,"fail"
"14",151,9,"Herford St.","Compton Ave.","cul",3,57498,"2/9/78",1978,0,"","",0,0,NA,NA,"fail"
"15",154,9,"Juniata St.","Minnesota","pots (4)",1,57645,"6/21/78",1978,2,"9/1/14","Street Open",0,1,NA,NA,"fail"
"16",155,9,"Nebraska Ave.","Juniata","pots (4)",1,57645,"6/21/78",1978,2,"7/1/11","Street Open",0,1,NA,NA,"fail"
"17",157,9,"Ohio Ave.","Arsenal St.","pots (4)",1,57645,"6/21/78",1978,2,"7/1/11","Street Open",0,1,NA,NA,"fail"
"18",158,9,"Osage St.","S. Broadway","pots (4)",1,57645,"6/21/78",1978,2,"10/1/11","Street Open",0,1,NA,NA,"fail"
"19",159,9,"Pestalozzi St.","California","",4,61691,"11/20/89",1989,2,"7/1/11","Street Open",0,1,NA,NA,"fail"
"20",160,9,"Pennsylvania Ave.","Wyoming","pots (4)",1,57645,"6/21/78",1978,2,"9/1/14","Street Open",0,1,NA,NA,"fail"
"21",161,9,"Texas Ave.","Gravois Ave.","pots (4)",1,57645,"6/21/78",1978,2,"7/1/11","Street Open",0,1,NA,NA,"fail"
"22",168,16,"Plainview Ave.","Jamieson","",4,66922,"11/23/05",2005,2,"8/1/15","",0,1,NA,NA,"fail"
"23",169,16,"Wabash Ave.","Lansdowne","pots (10)",1,63708,"3/26/96",1996,2,"9/1/14","",0,1,NA,NA,"fail"
"24",172,17,"Berthold Ave.","Hereford St.","pots (4)",1,61691,"11/20/89",1989,0,"","",0,0,NA,NA,"fail"
"25",182,17,"Maryland Ave.","Whittier St.","cul",3,57213,"6/24/76",1976,3,"5/1/15","cul/gate",0,0,NA,NA,"fail"
"26",183,17,"Maryland Ave.","N. Boyle","pots (2)",1,59980,"1/30/86",1986,2,"5/1/15","Street Open",0,1,NA,NA,"fail"
"27",191,17,"Whittier St.","McPherson Ave.","",4,67521,"6/11/09",2009,5,"5/1/15","pots (10)/street signs (4)",0,0,NA,NA,"fail"
"28",193,17,"Wise Ave.","Hereford","pots (4)",1,59081,"3/8/84",1984,0,"","",0,0,NA,NA,"fail"
"29",195,18,"Hubert Ave.","Suburban Track Lines Hodiamont Row","pots (5)",1,59061,"3/8/84",1984,0,"","",0,0,NA,NA,"fail"
"30",196,18,"Hubert Ave.","Suburban Track Lines Hodiamont Row","pots (5)",1,59061,"3/8/84",1984,0,"","",0,0,NA,NA,"fail"
"31",212,18,"Whittier St.","Maryland","pots (4)",1,64359,"4/28/98",1998,9,"5/1/15","wrought iron fence",0,0,NA,NA,"fail"
"32",216,20,"California Ave.","Chippewa Ave","",4,57498,"2/9/78",1978,2,"9/1/14","Street Open",0,1,NA,NA,"fail"
"33",217,20,"S. Compton Ave.","Oasge","pots (4)",1,57498,"2/9/78",1978,3,"9/1/11","Do Not Enter Sign",0,0,NA,NA,"fail"
"34",218,20,"S. Compton Ave.","Gascorade","pots (4)",1,63962,"2/9/78",1978,2,"9/1/11","Street Open",0,1,NA,NA,"fail"
"35",225,20,"San Francisco Ave.","Kingshighway","pots",1,64557,"9/18/78",1978,3,"9/1/14","Do Not Enter Sign",0,0,NA,NA,"fail"
"36",227,20,"Winnebago St.","Jefferson Ave","",4,64987,"7/12/00",2000,2,"7/1/11","Street Open",0,1,NA,NA,"fail"
"37",247,26,"Clemens Ave.","Clara","pots (8)",1,62942,"7/27/93",1993,2,"7/1/11","pots(4)",0,1,NA,NA,"fail"
"38",279,28,"Pershing Ave","Taylor","pots (5)",1,59057,"3/8/84",1984,9,"","",0,0,NA,NA,"fail"
"39",284,28,"Waterman Blvd.","Belt","posts/chains",2,57452,"12/12/77",1977,9,"","",0,0,NA,NA,"fail"
"40",289,28,"Westminister Pl.","Taylor","cul",3,59127,"4/10/84",1984,3,"7/1/15","cul and iron fence",0,0,NA,NA,"fail"
"41",291,3,"N. Spring Ave","Dodier St","",4,NA,"",NA,1,"7/1/16","fence",0,0,NA,NA,"fail"
