id,ward,street,avenue,type,waldronCat,ordinanceNum,date,year,googleMapsVerify,gMapsDate,googleMapsType,noIntersect,streetOpen,coords.x1,coords.x2,check,status,changes
1,1,Darby St.,Damon Av.,pots (3),1,64519,12/17/98,1998,3,8/1/11,pots (4),0,0,885592.6127,1041478.286,pass,street closed,
2,1,Hamilton Ave.,St. Louis Ave.,pots/chains,1,64731,11/23/99,1999,3,8/1/11,Street Open,0,1,883856.0686,1037030.448,pass,street closed,
3,1,Palm St.,Kingshighway,pots (4),1,64630,2/23/99,1999,3,9/1/14,pots (6),0,0,891071.3547,1034819.444,pass,street closed,
4,2,Annetta Ave.,Halls Ferry Rd.,pots (4),1,64179,11/4/97,1997,3,10/1/11,pots (5),1,0,895028.9166,1050162.593,pass,street closed,
6,2,Coal Bank Rd.,Riverview Dr.,post/rails,2,60353,6/5/87,1987,3,10/1/12,post/rails (2),0,0,910309.2164,1070248.4,pass,street closed,
7,2,Hall St.,Buchanan St.,pots (3),1,63106,3/2/94,1994,3,10/1/11,barricades (3),0,0,908772.1362,1029244.368,pass,street closed,
9,2,Lookaway Dr.,Shepley Dr.,pots (4),1,60307,3/4/87,1987,1,9/1/13,SAME,0,0,907721.5133,1063439.902,pass,street closed,
10,2,19th St.,Angellica,pots (6),1,62750,11/17/92,1992,2,8/1/15,Street Open,0,1,904739.6551,1031188.013,pass,street open,
11,2,19th St.,Penrose St.,pots (4),1,62750,11/17/92,1992,1,9/1/14,SAME,0,0,904548.5173,1031477.993,pass,street closed,
12,3,Adelaide Ave.,W. Florissant,pots (4),1,64873,2/2/00,2000,2,8/1/15,Street Open,0,1,900123.2703,1034700.042,pass,street open,
13,3,Agnes St.,21st St.,,4,66916,11/23/05,2005,3,9/1/14,pots (4),0,0,905141.2373,1028349.833,pass,street closed,
14,3,Ashland Ave.,Vandeventer Ave.,cul,3,62648,12/23/92,1992,1,9/1/14,SAME,0,0,898998.7492,1029853.998,pass,street closed,
15,3,Bailey Ave.,Glasgow Ave.,,4,63394,8/2/94,1994,3,9/1/14,pots (5),0,0,902525.5319,1029977.428,pass,street closed,
16,3,Bailey Ave.,Grand Blvd.,pots (4),1,64761,11/23/99,1999,3,8/1/15,pots (7),0,0,901578.876,1030500.778,pass,street closed,
17,3,Barrett St.,Glasgow Ave.,pots (4),1,62789,12/23/92,1992,1,9/1/12,SAME,0,0,902374.2969,1029707.159,pass,street closed,
18,3,Breman Ave.,11th,pots (4),1,64092,6/1/97,1997,1,9/1/14,SAME,0,0,906131.8446,1030704.761,pass,street closed,
19,3,Breman Ave.,14th,pots (4),1,64093,6/2/97,1997,1,8/1/15,SAME,0,0,905891.7614,1030603.078,pass,street closed,
