id,googleMapsVerify,gMapsDate,googleMapsType,noIntersect,streetOpen
1,3,8/1/11,pots (4),0,0
2,2,8/1/11,Street Open,0,1
3,3,9/1/14,pots (6),0,0
4,3,10/1/11,pots (5),1,0
5,2,,,0,1
6,3,10/1/12,post/rails (2),0,0
7,3,10/1/11,barricades (3),0,0
8,3,9/1/12,gate,0,0
9,1,9/1/13,SAME,0,0
10,2,8/1/15,Street Open,0,1
11,1,9/1/14,SAME,0,0
12,2,8/1/15,Street Open,0,1
13,5,9/1/14,pots (4),0,0
14,1,9/1/14,SAME,0,0
15,5,9/1/14,pots (5),0,0
16,3,8/1/15,pots (7),0,0
17,1,9/1/12,SAME,0,0
18,1,9/1/14,SAME,0,0
19,1,8/1/15,SAME,0,0
20,3,9/1/15,pots (9) / cul,0,0
21,3,8/1/15,cul,0,0
22,2,8/1/15,Street Open,0,1
23,3,9/1/14,pots (7) / barricades (3),0,0
24,2,9/1/14,Street Open,0,1
25,1,9/1/14,SAME,0,0
26,2,9/1/14,Street Open,0,1
27,3,10/1/09,cul/gate,0,0
28,1,9/1/14,SAME,0,0
29,0,,,0,0
30,5,8/1/12,cul,0,0
31,0,,,0,0
32,1,9/1/14,SAME,0,0
33,0,,,0,0
34,1,8/1/12,SAME,0,0
35,2,9/1/14,Street Open,0,1
36,1,9/1/14,SAME,0,0
37,1,9/1/14,SAME,0,0
38,1,9/1/14,SAME,0,0
39,0,,,0,0
40,2,9/1/14,Street Open,0,1
41,2,9/1/14,Street Open,0,1
42,2,9/1/14,Street Open,0,1
43,1,9/1/14,SAME,0,0
44,3,9/1/14,pots (4),0,0
45,4,9/1/14,pots (4),0,0
46,3,9/1/14,pots (3)/ poles (8),0,0
47,1,9/1/14,SAME,0,0
48,2,10/1/11,,0,1
49,4,9/1/14,pots (2),0,0
50,5,9/1/12,gate,0,0
51,3,3/1/15,pots (6),0,0
52,5,3/1/15,pots (3),0,0
53,1,3/1/15,SAME,0,0
54,2,3/1/15,SAME,1,1
55,1,9/1/14,SAME,0,0
56,3,7/1/16,Wall,1,0
57,2,9/1/14,Do Not Enter Sign,0,1
58,5,8/1/15,jersey (3)/ fence (1),1,0
59,9,9/1/14,SAME,0,0
60,1,9/1/14,SAME,0,0
61,3,9/1/14,pots (5),0,0
62,3,3/1/15,pots (5),0,0
63,9,3/1/15,SAME,0,0
64,3,3/1/15,pots (5),0,0
65,3,7/1/11,barricade (2),0,0
66,3,4/1/15,jersey (4)/ fence,0,0
67,3,8/1/15,pots (19),0,0
68,0,,,0,0
69,3,3/1/15,pots (5),0,0
70,3,4/1/15,pots (10),0,0
71,3,3/1/15,jersey (2),0,0
72,9,3/1/15,pots (9),0,0
73,2,3/1/15,Do Not Enter Sign,0,1
74,1,7/1/11,SAME,0,0
75,1,7/1/11,SAME,0,0
76,2,7/1/11,N/A,0,1
77,0,,,0,0
78,3,5/1/16,cul,0,0
79,1,6/1/16,SAME,0,0
80,1,7/1/11,SAME,0,0
81,2,,,0,1
82,2,,,0,1
83,3,5/1/15,Sidewalk/Gate,0,0
84,1,7/1/11,SAME,0,0
85,9,7/1/11,SAME,0,0
86,1,7/1/11,SAME,0,0
87,1,7/1/11,SAME,0,0
88,9,7/1/11,SAME,0,0
89,1,4/1/12,SAME,0,0
90,3,7/1/11,cul,0,0
91,3,7/1/11,platform/pots (3),0,0
92,3,,cul,1,0
93,9,,,0,0
94,2,,,0,1
95,2,,,0,1
96,1,7/1/11,SAME,0,0
97,1,5/1/12,SAME,0,0
98,1,7/1/11,SAME,0,0
99,3,9/1/14,Fence/Private Lot,0,0
100,2,,,0,1
101,1,7/1/11,SAME,0,0
102,3,6/1/15,Private Drive,0,0
103,3,7/1/11,pots (5),0,0
104,3,5/1/12,pots (5),0,0
105,3,3/1/15,pots (5),1,0
106,1,4/1/15,SAME,0,0
107,2,4/1/15,SAME,0,1
108,1,7/1/11,SAME,0,0
109,0,,,0,0
110,0,,,0,0
111,0,,,0,0
112,0,,,0,0
113,3,5/1/15,,0,0
114,2,5/1/15,,0,1
115,1,7/1/11,SAME,0,0
116,0,,,0,0
117,2,7/1/11,,0,1
118,3,5/1/15,cul/pots(8),0,0
119,3,7/1/11,,0,0
120,3,9/1/14,,0,0
121,0,,,0,0
122,2,6/1/15,,0,1
123,0,,,0,0
124,0,,,0,0
125,0,,,0,0
126,0,,,0,0
127,1,6/1/12,SAME,0,0
128,3,3/1/15,gate,0,0
129,3,9/1/14,posts (11)/fence,0,0
130,1,9/1/14,SAME,0,0
131,3,9/1/14,posts (3)/fence,0,0
132,1,9/1/14,SAME,0,0
133,3,9/1/14,cul/posts(3)/chains,1,0
134,1,9/1/14,SAME,0,0
135,3,9/1/14,Do Not Enter Sign,0,0
136,1,9/1/14,SAME,0,0
137,3,9/1/14,fence,0,0
138,1,9/1/14,SAME,0,0
139,1,9/1/14,SAME,0,0
140,1,9/1/14,SAME,0,0
141,1,3/1/15,SAME,0,0
142,1,7/1/11,SAME,0,0
143,5,3/1/15,cul/gate,0,0
144,3,3/1/15,cul/posts (4)/chains,1,0
145,1,9/1/14,SAME,0,0
146,3,9/1/14,,0,0
147,1,9/1/14,SAME,0,0
148,3,4/1/15,concrete balls (5),0,0
149,3,5/1/15,concrete balls (5),0,0
150,1,6/1/16,SAME,0,0
151,0,,,0,0
152,1,5/1/15,SAME,0,0
153,3,9/1/14,cul,0,0
154,2,9/1/14,Street Open,0,1
155,2,7/1/11,Street Open,0,1
156,2,9/1/09,,0,1
157,2,7/1/11,Street Open,0,1
158,2,10/1/11,Street Open,0,1
159,2,7/1/11,Street Open,0,1
160,2,9/1/14,Street Open,0,1
161,2,7/1/11,Street Open,0,1
162,3,10/1/11,pots(4)/fence,0,0
163,1,4/1/15,SAME,0,0
164,2,7/1/11,Street Open,0,1
165,5,6/1/16,pots (2),0,0
166,1,7/1/15,SAME,1,0
167,3,8/1/15,platform,0,0
168,2,8/1/15,,0,1
169,2,9/1/14,,0,1
170,3,6/1/11,concrete balls (5),0,0
171,3,10/1/14,concrete balls (5),0,0
172,0,,,0,0
173,5,6/1/11,cul,0,0
174,4,5/1/12,concrete balls (6),0,0
175,1,6/1/11,SAME,0,0
176,3,10/1/14,concrete balls (5),0,0
177,3,10/1/14,concrete balls (5),0,0
178,1,7/1/15,SAME,0,0
179,3,7/1/15,gate/posts (3),0,0
180,4,7/1/11,SAME,0,0
181,2,7/1/15,Street Open,0,1
182,3,5/1/15,cul/gate,0,0
183,2,5/1/15,Street Open,0,1
184,1,4/1/12,SAME,0,0
185,2,7/1/15,Street Open,0,1
186,1,10/1/14,SAME,0,0
187,5,10/1/14,posts (5),0,0
188,1,6/1/11,SAME,0,0
189,3,4/1/12,cul/barricades (4),0,0
190,3,5/1/15,cul/gate/posts (10)/lamppost (1)/pots (2),0,0
191,5,5/1/15,pots (10)/street signs (4),0,0
192,5,9/1/09,cul,0,0
193,0,,,0,0
194,1,7/1/15,SAME,0,0
195,0,,,0,0
196,0,,,0,0
