"","id","ward","street","avenue","type","waldronCat","ordinanceNum","date","year","OBJECTID","Observatio","BarrierID","check"
"1",5,2,"Annetta Ave.","Halls Ferry Rd.","pots (3)",1,59980,"1/30/86",1986,NA,NA,NA,"fail"
"2",8,2,"Lookaway Dr.","S. Benevenue","pots (4)",1,60307,"3/4/87",1987,NA,NA,NA,"fail"
"3",29,3,"Hyarrs Pl.","Dodier","pots (4)",1,59113,"7/1/97",1997,NA,NA,NA,"fail"
"4",31,3,"Mallinckrodt St.","n/s alley","",4,66698,"6/2/05",2005,NA,NA,NA,"fail"
"5",33,3,"North 23rd","Neccho","pots (4)",1,66027,"5/18/09",2009,NA,NA,NA,"fail"
"6",60,5,"Herbert St.","Knapp","pots (4)",1,62977,"10/18/93",1993,NA,NA,NA,"fail"
"7",63,5,"Nineteenth St.","Benton","pots (6)",1,63814,"7/15/96",1996,NA,NA,NA,"fail"
"8",68,5,"Pauschenback Av.","Heben","posts/chains",2,58085,"6/12/80",1980,NA,NA,NA,"fail"
"9",72,5,"Warren St.","19th","pots",1,63814,"7/15/96",1996,NA,NA,NA,"fail"
"10",76,6,"California Ave.","Lafayette","pots (4)",1,62647,"2/2/93",1993,NA,NA,NA,"fail"
"11",77,6,"Caroline St.","Jefferson","cul",3,57336,"3/22/77",1977,NA,NA,NA,"fail"
"12",82,6,"Eighteenth St.","Chouteau","pots (6)",1,59707,"1/30/86",1986,NA,NA,NA,"fail"
"13",85,6,"Geyer Ave.","Compton","cul",3,57405,"8/2/97",1977,NA,NA,NA,"fail"
"14",88,6,"Geyer Ave.","Nebraska","cul",3,57405,"8/2/97",1977,NA,NA,NA,"fail"
"15",93,6,"Hickory St","Dolman","pots (5)",1,63638,"12/21/93",1993,NA,NA,NA,"fail"
"16",100,6,"Ohio Ave.","Chouteau","pots (7)",1,63071,"12/21/93",1993,NA,NA,NA,"fail"
"17",105,6,"Seventeenth St.","Cass","barricade",4,63996,"2/18/97",1997,NA,NA,NA,"fail"
"18",106,6,"Seventeenth St.","Delmar","iron fence (P.C.)",4,58060,"4/4/80",1980,NA,NA,NA,"fail"
"19",107,6,"Sixeteenth St.","Delmar","iron fence (P.C.)",4,58060,"4/4/80",1980,NA,NA,NA,"fail"
"20",109,6,"Virginia Ave.","Russell","cul",3,59333,"12/19/84",1984,NA,NA,NA,"fail"
"21",110,7,"Accoitiac St.","California","cul",3,59752,"3/4/86",1984,NA,NA,NA,"fail"
"22",111,7,"Accoitiac St.","Jefferson","cul",3,59333,"12/19/84",1979,NA,NA,NA,"fail"
"23",112,7,"Accoitiac St.","Oregon","cul",3,57813,"3/27/79",1986,NA,NA,NA,"fail"
"24",116,7,"Earton","3rd","",4,58666,"9/13/82",1982,NA,NA,NA,"fail"
"25",119,7,"Carrol St.","St. Ange Av.","pots (3)",1,62838,"2/2/93",1993,NA,NA,NA,"fail"
"26",121,7,"Elvira alley","Tucker C.B. 441","pots (4)",1,64541,"1/4/89",1989,NA,NA,NA,"fail"
"27",123,7,"Merard St.","Park","cul",3,60336,"3/4/87",1987,NA,NA,NA,"fail"
"28",124,7,"Ninth St.","","pots (3)",1,65865,"4/24/03",2003,NA,NA,NA,"fail"
"29",125,7,"Rutger St.","Tucker","cul",3,57909,"11/10/79",1979,NA,NA,NA,"fail"
"30",126,7,"Sixth St.","Market","(P.C.)",4,60213,"3/4/87",1987,NA,NA,NA,"fail"
"31",127,7,"Victor St.","California","cul",3,59752,"4/24/03",2003,NA,NA,NA,"fail"
"32",135,8,"Detonty St.","Klemm","pots (2)",1,59592,"11/4/85",1985,NA,NA,NA,"fail"
"33",149,8,"Thurman Ave.","I-44","pots (6)",1,59592,"11/4/85",1985,NA,NA,NA,"fail"
"34",151,9,"Herford St.","Compton Ave.","cul",3,57498,"2/9/78",1978,NA,NA,NA,"fail"
"35",154,9,"Juniata St.","Minnesota","pots (4)",1,57645,"6/21/78",1978,NA,NA,NA,"fail"
"36",155,9,"Nebraska Ave.","Juniata","pots (4)",1,57645,"6/21/78",1978,NA,NA,NA,"fail"
"37",157,9,"Ohio Ave.","Arsenal St.","pots (4)",1,57645,"6/21/78",1978,NA,NA,NA,"fail"
"38",158,9,"Osage St.","S. Broadway","pots (4)",1,57645,"6/21/78",1978,NA,NA,NA,"fail"
"39",159,9,"Pestalozzi St.","California","",4,61691,"11/20/89",1989,NA,NA,NA,"fail"
"40",160,9,"Pennsylvania Ave.","Wyoming","pots (4)",1,57645,"6/21/78",1978,NA,NA,NA,"fail"
"41",161,9,"Texas Ave.","Gravois Ave.","pots (4)",1,57645,"6/21/78",1978,NA,NA,NA,"fail"
