OBJECTID_1,ID,GRIDCODE,BarrierCount
1,9416.0,9416.0,1.0
2,9417.0,9417.0,0.0
3,9604.0,9604.0,0.0
4,9605.0,9605.0,0.0
5,9791.0,9791.0,1.0
6,9792.0,9792.0,0.0
7,9793.0,9793.0,0.0
8,9978.0,9978.0,0.0
9,9979.0,9979.0,1.0
10,9980.0,9980.0,0.0
11,10168.0,10168.0,0.0
12,10169.0,10169.0,0.0
13,10170.0,10170.0,0.0
14,10364.0,10364.0,0.0
15,10365.0,10365.0,0.0
16,10366.0,10366.0,0.0
17,10367.0,10367.0,0.0
18,10561.0,10561.0,0.0
19,10562.0,10562.0,1.0
20,10563.0,10563.0,0.0
21,10564.0,10564.0,0.0
22,10565.0,10565.0,0.0
23,10756.0,10756.0,1.0
24,10757.0,10757.0,0.0
25,10758.0,10758.0,0.0
26,10759.0,10759.0,0.0
27,10760.0,10760.0,0.0
28,10761.0,10761.0,0.0
29,10950.0,10950.0,1.0
30,10951.0,10951.0,3.0
31,10952.0,10952.0,0.0
32,10953.0,10953.0,0.0
33,10954.0,10954.0,0.0
34,10955.0,10955.0,0.0
35,11143.0,11143.0,1.0
36,11144.0,11144.0,1.0
37,11145.0,11145.0,0.0
38,11146.0,11146.0,0.0
39,11147.0,11147.0,0.0
40,11148.0,11148.0,0.0
41,11149.0,11149.0,0.0
42,11150.0,11150.0,0.0
43,11336.0,11336.0,0.0
44,11337.0,11337.0,1.0
45,11338.0,11338.0,0.0
46,11339.0,11339.0,0.0
47,11340.0,11340.0,0.0
48,11341.0,11341.0,0.0
49,11342.0,11342.0,0.0
50,11343.0,11343.0,0.0
51,11344.0,11344.0,0.0
52,11530.0,11530.0,1.0
53,11531.0,11531.0,0.0
54,11532.0,11532.0,0.0
55,11533.0,11533.0,2.0
56,11534.0,11534.0,3.0
57,11535.0,11535.0,0.0
58,11536.0,11536.0,0.0
59,11537.0,11537.0,1.0
60,11538.0,11538.0,0.0
61,11539.0,11539.0,0.0
62,11723.0,11723.0,0.0
63,11724.0,11724.0,4.0
64,11725.0,11725.0,1.0
65,11726.0,11726.0,5.0
66,11727.0,11727.0,5.0
67,11728.0,11728.0,0.0
68,11729.0,11729.0,1.0
69,11730.0,11730.0,1.0
70,11731.0,11731.0,9.0
71,11732.0,11732.0,2.0
72,11733.0,11733.0,0.0
73,11917.0,11917.0,1.0
74,11918.0,11918.0,11.0
75,11919.0,11919.0,7.0
76,11920.0,11920.0,2.0
77,11921.0,11921.0,5.0
78,11922.0,11922.0,1.0
79,11923.0,11923.0,3.0
80,11924.0,11924.0,5.0
81,11925.0,11925.0,7.0
82,11926.0,11926.0,3.0
83,11927.0,11927.0,0.0
84,12111.0,12111.0,0.0
85,12112.0,12112.0,7.0
86,12113.0,12113.0,5.0
87,12114.0,12114.0,7.0
88,12115.0,12115.0,14.0
89,12116.0,12116.0,0.0
90,12117.0,12117.0,2.0
91,12118.0,12118.0,0.0
92,12119.0,12119.0,2.0
93,12120.0,12120.0,2.0
94,12121.0,12121.0,0.0
95,12304.0,12304.0,0.0
96,12305.0,12305.0,0.0
97,12306.0,12306.0,0.0
98,12307.0,12307.0,0.0
99,12308.0,12308.0,2.0
100,12309.0,12309.0,4.0
101,12310.0,12310.0,3.0
102,12311.0,12311.0,0.0
103,12312.0,12312.0,0.0
104,12313.0,12313.0,0.0
105,12314.0,12314.0,10.0
106,12315.0,12315.0,0.0
107,12316.0,12316.0,0.0
108,12498.0,12498.0,0.0
109,12499.0,12499.0,0.0
110,12500.0,12500.0,0.0
111,12501.0,12501.0,0.0
112,12502.0,12502.0,6.0
113,12503.0,12503.0,4.0
114,12504.0,12504.0,0.0
115,12505.0,12505.0,0.0
116,12506.0,12506.0,0.0
117,12507.0,12507.0,2.0
118,12508.0,12508.0,0.0
119,12509.0,12509.0,0.0
120,12510.0,12510.0,0.0
121,12692.0,12692.0,0.0
122,12693.0,12693.0,0.0
123,12694.0,12694.0,0.0
124,12695.0,12695.0,0.0
125,12696.0,12696.0,3.0
126,12697.0,12697.0,3.0
127,12698.0,12698.0,4.0
128,12699.0,12699.0,5.0
129,12700.0,12700.0,7.0
130,12701.0,12701.0,2.0
131,12702.0,12702.0,0.0
132,12703.0,12703.0,0.0
133,12886.0,12886.0,0.0
134,12887.0,12887.0,0.0
135,12888.0,12888.0,0.0
136,12889.0,12889.0,0.0
137,12890.0,12890.0,0.0
138,12891.0,12891.0,8.0
139,12892.0,12892.0,6.0
140,12893.0,12893.0,11.0
141,12894.0,12894.0,5.0
142,12895.0,12895.0,6.0
143,12896.0,12896.0,0.0
144,12897.0,12897.0,0.0
145,13079.0,13079.0,0.0
146,13080.0,13080.0,0.0
147,13081.0,13081.0,0.0
148,13082.0,13082.0,0.0
149,13083.0,13083.0,0.0
150,13084.0,13084.0,0.0
151,13085.0,13085.0,0.0
152,13086.0,13086.0,2.0
153,13087.0,13087.0,1.0
154,13088.0,13088.0,0.0
155,13089.0,13089.0,0.0
156,13090.0,13090.0,0.0
157,13091.0,13091.0,0.0
158,13273.0,13273.0,0.0
159,13274.0,13274.0,1.0
160,13275.0,13275.0,0.0
161,13276.0,13276.0,0.0
162,13277.0,13277.0,0.0
163,13278.0,13278.0,1.0
164,13279.0,13279.0,0.0
165,13280.0,13280.0,1.0
166,13281.0,13281.0,1.0
167,13282.0,13282.0,1.0
168,13283.0,13283.0,0.0
169,13284.0,13284.0,0.0
170,13467.0,13467.0,0.0
171,13468.0,13468.0,1.0
172,13469.0,13469.0,0.0
173,13470.0,13470.0,0.0
174,13471.0,13471.0,0.0
175,13472.0,13472.0,0.0
176,13473.0,13473.0,0.0
177,13474.0,13474.0,0.0
178,13475.0,13475.0,1.0
179,13476.0,13476.0,1.0
180,13477.0,13477.0,0.0
181,13478.0,13478.0,0.0
182,13662.0,13662.0,0.0
183,13663.0,13663.0,0.0
184,13664.0,13664.0,0.0
185,13665.0,13665.0,0.0
186,13666.0,13666.0,0.0
187,13667.0,13667.0,0.0
188,13668.0,13668.0,0.0
189,13669.0,13669.0,1.0
190,13670.0,13670.0,0.0
191,13856.0,13856.0,0.0
192,13857.0,13857.0,0.0
193,13858.0,13858.0,0.0
194,13859.0,13859.0,0.0
195,13860.0,13860.0,0.0
196,13861.0,13861.0,0.0
197,13862.0,13862.0,0.0
198,13863.0,13863.0,0.0
199,14051.0,14051.0,0.0
200,14052.0,14052.0,0.0
201,14053.0,14053.0,0.0
202,14054.0,14054.0,0.0
203,14055.0,14055.0,0.0
204,14056.0,14056.0,0.0
205,14057.0,14057.0,0.0
206,14246.0,14246.0,0.0
207,14247.0,14247.0,0.0
208,14248.0,14248.0,0.0
209,14249.0,14249.0,0.0
210,14250.0,14250.0,0.0
211,14441.0,14441.0,0.0
212,14442.0,14442.0,0.0
213,14443.0,14443.0,0.0
214,14636.0,14636.0,0.0
215,14637.0,14637.0,0.0
